---------------------------------------------------------------------
Országos Egyesületi Váltóbajnokság 2016            V 2016.10.16. 2:57
Online monitor for intermediate times - Client - COM8:
-------------OS2010 © Stephan Krämer SportSoftware 2015--------------

	Read at 	Control 	Chip 	Punch 	Error 

 
	11:36:04 	Finish 	2052341 	11:36:00 	 
	11:36:05 	Finish 	8031118 	11:36:02 	 
	11:37:58 	Finish 	8100257 	11:37:54 	 
	11:39:08 	Finish 	2054139 	11:39:05 	 
	11:39:34 	Finish 	7205529 	11:39:31 	 
	11:39:44 	Finish 	45417 	11:39:40 	 
	11:40:54 	Finish 	2006750 	11:40:50 	 
	11:40:57 	Finish 	972 	11:40:53 	 
	11:41:06 	Finish 	433298 	11:41:02 	 
	11:41:21 	Finish 	2056185 	11:41:18 	 
	11:41:32 	Finish 	1396181 	11:41:29 	 
	11:41:41 	Finish 	2015820 	11:41:38 	 
	11:42:46 	Finish 	8035702 	11:42:42 	 
	11:43:01 	Finish 	2072207 	11:42:58 	 
	11:43:14 	Finish 	7207213 	11:43:11 	 
	11:43:59 	Finish 	2022125 	11:43:55 	 
	11:47:02 	Finish 	8110000 	11:46:59 	 
	11:47:04 	Finish 	9000505 	11:47:00 	 
	11:47:15 	Finish 	958 	11:47:11 	 
	11:48:18 	Finish 	45300 	11:48:15 	 
	11:48:20 	Finish 	4714736 	11:48:17 	 
	11:48:36 	Finish 	2026823 	11:48:33 	 
	11:48:53 	Finish 	46099 	11:48:50 	 
	11:48:56 	Finish 	8070851 	11:48:53 	 
	11:50:15 	Finish 	233629 	11:50:11 	 
	11:52:44 	Finish 	505283 	11:52:41 	 
	11:53:26 	Finish 	416701 	11:53:22 	 
	11:54:31 	Finish 	45388 	11:54:28 	 
	11:54:35 	Finish 	2079338 	11:54:32 	 
	11:54:39 	Finish 	502362 	11:54:35 	 
	11:54:53 	Finish 	7205531 	11:54:50 	 
	11:55:02 	Finish 	2072283 	11:54:59 	 
	11:55:05 	Finish 	222987 	11:55:01 	 
	11:55:07 	Finish 	1255612 	11:55:04 	 
	11:55:14 	Finish 	222996 	11:55:11 	 
	11:55:18 	Finish 	9127807 	11:55:14 	 
	11:56:04 	Finish 	2050656 	11:56:01 	 
	11:56:12 	Finish 	45553 	11:56:09 	 
	11:56:20 	Finish 	670122 	11:56:16 	 
	11:56:33 	Finish 	45345 	11:56:29 	 
	11:57:10 	Finish 	995 	11:57:06 	 
	11:57:21 	Finish 	45296 	11:57:18 	 
	11:58:47 	Finish 	2019915 	11:58:44 	 
	11:58:49 	Finish 	2019916 	11:58:45 	 
	11:59:08 	Finish 	339851 	11:59:04 	 
	11:59:13 	Finish 	232825 	11:59:10 	 
	11:59:17 	Finish 	45496 	11:59:13 	 
	11:59:37 	Finish 	222979 	11:59:33 	 
	11:59:53 	Finish 	2066466 	11:59:49 	 
	12:00:25 	Finish 	2088252 	12:00:22 	 
	12:01:12 	Finish 	505256 	12:01:09 	 
	12:01:27 	Finish 	2022206 	12:01:24 	 
	12:02:15 	Finish 	888358 	12:02:11 	 
	12:03:08 	Finish 	888342 	12:03:04 	 
	12:03:23 	Finish 	2009113 	12:03:19 	 
	12:04:58 	Finish 	2009114 	12:04:55 	 
